defined_class	defined_class_label	biological_process	biological_process_label	term
http://purl.obolibrary.org/obo/MP_0001358	aggression towards inanimate objects	http://purl.obolibrary.org/obo/NBO_0000112	aggressive behavior towards inanimate objects	MP_0001358
http://purl.obolibrary.org/obo/MP_0009453	enhanced contextual conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000223	contextual conditioning behavior	MP_0009453
http://purl.obolibrary.org/obo/MP_0003858	enhanced coordination	http://purl.obolibrary.org/obo/NBO_0000339	motor coordination	MP_0003858
http://purl.obolibrary.org/obo/MP_0001349	excessive tearing	http://purl.obolibrary.org/obo/GO_0070075	tear secretion	MP_0001349
http://purl.obolibrary.org/obo/MP_0001399	hyperactivity	http://purl.obolibrary.org/obo/NBO_0000338	kinesthetic behavior	MP_0001399
http://purl.obolibrary.org/obo/MP_0009456	impaired cued conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000224	cued conditioning behavior	MP_0009456
http://purl.obolibrary.org/obo/MP_0005655	increased aggression	http://purl.obolibrary.org/obo/NBO_0000015	aggressive behavior	MP_0005655
http://purl.obolibrary.org/obo/MP_0001363	increased anxiety-related response	http://purl.obolibrary.org/obo/NBO_0000092	anxiety-related behavior	MP_0001363
http://purl.obolibrary.org/obo/MP_0003063	increased coping response	http://purl.obolibrary.org/obo/NBO_0000103	coping behavior	MP_0003063
http://purl.obolibrary.org/obo/MP_0003867	increased defecation amount	http://purl.obolibrary.org/obo/GO_0030421	defecation	MP_0003867
http://purl.obolibrary.org/obo/MP_0001415	increased exploration in new environment	http://purl.obolibrary.org/obo/NBO_0000097	response to novel environment	MP_0001415
http://purl.obolibrary.org/obo/MP_0001488	increased startle reflex	http://purl.obolibrary.org/obo/NBO_0000391	startle reflex	MP_0001488
http://purl.obolibrary.org/obo/MP_0002797	increased thigmotaxis	http://purl.obolibrary.org/obo/NBO_0000381	thigmotaxis	MP_0002797
http://purl.obolibrary.org/obo/MP_0002574	increased vertical activity	http://purl.obolibrary.org/obo/NBO_0000448	vertical activity	MP_0002574
